date, GDP ( Billions of US $), Per Capita (US $), Real GDP QoQ %
1960-03-01,3.541
1960-06-01,3.6,5.44
1960-09-01,3.662,5.4
1960-12-01,3.722,5.35
1961-03-01,3.78,5.24
1961-06-01,3.836,5.13
1961-09-01,3.883,3.87
1961-12-01,3.922,2.54
1962-03-01,3.963,2.49
1962-06-01,3.998,2.47
1962-09-01,4.046,3.85
1962-12-01,4.107,5.27
1963-03-01,4.178,5.16
1963-06-01,4.233,5.05
1963-09-01,4.288,4.49
1963-12-01,4.367,3.87
1964-03-01,4.42,3.79
1964-06-01,4.476,3.76
1964-09-01,4.525,2.88
1964-12-01,4.564,1.99
1965-03-01,4.611,1.95
1965-06-01,4.655,1.94
1965-09-01,4.687,0.92
1965-12-01,4.718,-0.17
1966-03-01,4.747,-0.16
1966-06-01,4.783,-0.17
1966-09-01,4.862,2.95
1966-12-01,4.976,6.22
1967-03-01,5.075,6.11
1967-06-01,5.179,5.94
1967-09-01,5.326,7.43
1967-12-01,5.505,8.92
1968-03-01,5.687,8.65
1968-06-01,5.863,8.45
1968-09-01,6.029,7.24
1968-12-01,6.208,6.06
1969-03-01,6.363,5.9
1969-06-01,6.535,5.78
1969-09-01,6.695,3.97
1969-12-01,6.827,2.08
1970-03-01,7.034,6.8
1970-06-01,7.13,-2.36
1970-09-01,7.218,0.08
1970-12-01,7.357,2.21
1971-03-01,7.531,3.96
1971-06-01,7.714,5.17
1971-09-01,7.901,6.13
1971-12-01,8.096,6.68
1972-03-01,8.347,6.75
1972-06-01,8.548,6.52
1972-09-01,8.775,6.02
1972-12-01,9.016,5.35
1973-03-01,9.223,4.61
1973-06-01,9.456,3.91
1973-09-01,9.707,3.31
1973-12-01,9.965,3.04
1974-03-01,10.26,3.45
1974-06-01,10.616,4.51
1974-09-01,11.086,6.25
1974-12-01,11.62,7.51
1975-03-01,12.094,7.13
1975-06-01,12.457,5.39
1975-09-01,12.757,2.45
1975-12-01,12.955,-0.21
1976-03-01,13.056,-0.93
1976-06-01,13.211,0.45
1976-09-01,13.514,3.77
1976-12-01,14.004,7.41
1977-03-01,14.572,9.6
1977-06-01,15.157,10.2
1977-09-01,15.724,9.73
1977-12-01,16.386,8.53
1978-03-01,16.933,7.06
1978-06-01,17.499,5.71
1978-09-01,18,4.36
1978-12-01,18.515,3.2
1979-03-01,18.974,2.46
1979-06-01,19.53,2.27
1979-09-01,20.078,2.55
1979-12-01,20.611,2.97
1980-03-01,21.216,3.21
1980-06-01,21.888,3.29
1980-09-01,22.562,3.25
1980-12-01,23.325,3.18
1981-03-01,24.115,3.18
1981-06-01,24.811,3.29
1981-09-01,25.515,3.55
1981-12-01,26.193,3.54
1982-03-01,26.751,2.87
1982-06-01,27.216,1.71
1982-09-01,27.59,0.04
1982-12-01,27.782,-1.36
1983-03-01,27.887,-1.6
1983-06-01,28.06,-0.64
1983-09-01,28.455,1.46
1983-12-01,28.955,3.8
1984-03-01,29.629,5.29
1984-06-01,30.316,5.84
1984-09-01,31.008,5.64
1984-12-01,31.619,4.81
1985-03-01,32.206,3.47
1985-06-01,32.571,1.84
1985-09-01,32.764,-0.1
1985-12-01,32.811,-1.65
1986-03-01,32.795,-1.91
1986-06-01,32.857,-0.88
1986-09-01,33.121,1.4
1986-12-01,33.635,3.95
1987-03-01,34.336,5.62
1987-06-01,35.106,6.27
1987-09-01,35.903,6.23
1987-12-01,36.692,5.71
1988-03-01,37.457,5.08
1988-06-01,38.251,4.55
1988-09-01,39.101,4.07
1988-12-01,39.87,4.04
1989-03-01,40.75,4.83
1989-06-01,41.828,6.33
1989-09-01,43.059,8.66
1989-12-01,44.497,10.37
1990-03-01,46.122,10.1
1990-06-01,47.571,8.24
1990-09-01,48.585,5.03
1990-12-01,49.194,1.82
1991-03-01,49.672,0.1
1991-06-01,50.06,0.09
1991-09-01,50.634,1.55
1991-12-01,51.349,3.38
1992-03-01,52.109,4.32
1992-06-01,52.965,4.28
1992-09-01,53.7,3.45
1992-12-01,54.411,2.47
1993-03-01,54.987,2
1993-06-01,55.616,2.12
1993-09-01,56.335,2.85
1993-12-01,57.187,4.01
1994-03-01,58.241,5.4
1994-06-01,59.531,6.92
1994-09-01,61.195,8.76
1994-12-01,63.132,10.13
1995-03-01,65.86,18287.718044,14.35
1995-06-01,67.341,18699.211426,6.04
1995-09-01,69.473,19291.194466,12.19
1995-12-01,70.75,19645.726309,6.01
1996-03-01,72.864,20094.443254,9.4
1996-06-01,74.496,20544.406585,8.53
1996-09-01,74.547,20558.459295,0.47
1996-12-01,76.019,20964.30244,7.02
1997-03-01,78.496,21421.947128,14.44
1997-06-01,81.985,22373.999972,17.25
1997-09-01,84.362,23022.672459,8.48
1997-12-01,87.521,23884.791749,9.92
1998-03-01,89.672,24267.925447,4.84
1998-06-01,92.357,24910.298307,9.6
1998-09-01,96.3,25875.081634,15.89
1998-12-01,93.759,25121.195959,-8.71
1999-03-01,97.629,26121.677386,21.76
1999-06-01,98.161,26208.548971,4.72
1999-09-01,103.183,27441.292815,18.95
1999-12-01,106.27,28143.343711,9.55
2000-03-01,108.779,28758.290449,3.69
2000-06-01,112.996,29790.951263,11.13
2000-09-01,117.423,30822.036684,11.72
2000-12-01,120,31316.80896,4.49
2001-03-01,122.387,31877.440922,3.27
2001-06-01,124.945,32434.011242,5.18
2001-09-01,126.424,32656.101214,0.95
2001-12-01,129.47,33263.48827,6.04
2002-03-01,134.325,34390.308301,9.73
2002-06-01,136.52,34809.547274,2.69
2002-09-01,140.591,35687.252248,9.09
2002-12-01,142.249,35921.003252,2.96
2003-03-01,140.381,35329.759989,-5.97
2003-06-01,141.809,35585.870222,3.25
2003-09-01,144.274,36030.968252,5.94
2003-12-01,152.751,37947.335225,20.08
2004-03-01,153.363,37983.55906,-0.56
2004-06-01,157.138,38782.998396,6.95
2004-09-01,157.756,38702.342426,1.38
2004-12-01,161.246,39291.732794,8.38
2005-03-01,162.46,39410.627074,4.41
2005-06-01,166.488,40192.769296,8.61
2005-09-01,168.41,40367.034551,0.26
2005-12-01,175.568,41767.158719,10.29
2006-03-01,181.87,43037.109867,4.26
2006-06-01,186.226,43890.457242,1.66
2006-09-01,193.083,45040.446192,8.46
2006-12-01,194.77,45048.477781,0.77
2007-03-01,206.08,47330.966827,19.15
2007-06-01,205.009,46754.863762,-4.12
2007-09-01,201.45,45626.746566,-9
2007-12-01,210.305,47293.988962,17.42
2008-03-01,203.214,45445.166125,-14.1
2008-06-01,199.859,44502.138445,-7.49
2008-09-01,199.588,44310.629337,-2.78
2008-12-01,192.541,42623.917722,-15.14
2009-03-01,189.599,41891.681465,-3.07
2009-06-01,189.715,41811.251596,0.76
2009-09-01,187.497,41252.807917,-5.59
2009-12-01,188.174,41373.446254,-1.87
2010-03-01,193.966,42616.825138,8.04
2010-06-01,197.157,43271.907215,3.57
2010-09-01,199.625,43754.951094,2.86
2010-12-01,198.957,43543.980277,-2.27
2011-03-01,204.054,44637.98221,12.59
2011-06-01,205.649,44939.878461,1.67
2011-09-01,206.453,45067.183795,0.51
2011-12-01,206.993,45138.375408,-0.25
2012-03-01,209.553,45661.303795,-0.42
2012-06-01,212.454,46249.137806,2.56
2012-09-01,213.116,46322.095869,-3.38
2012-12-01,216.066,46909.575482,1.94
2013-03-01,215.3,46705.038589,-6.53
2013-06-01,221.902,48086.299557,10.96
2013-09-01,226.433,48970.30969,8.71
2013-12-01,222.587,48055.857674,-3.87
2014-03-01,227.855,49129.404985,16.27
2014-06-01,236.957,51008.427754,15.67
2014-09-01,240.917,51723.853354,2.68
2014-12-01,247.125,52931.406412,2.56
2015-03-01,315.826,67518.386824,90.45
2015-06-01,320.079,68279.443613,-3.48
2015-09-01,329.101,69985.826323,5.92
2015-12-01,330.523,70096.310145,1.67
2016-03-01,330.531,69934.716623,7.38
2016-06-01,329.746,69572.546538,1.55
2016-09-01,326.016,68524.626492,-5.32
2016-12-01,360.964,75634.82215,41.23
2017-03-01,344.699,72046.656602,-20.05
2017-06-01,358.14,74729.321008,12.58
2017-09-01,379.011,78864.420796,18.72
2017-12-01,393.099,81448.338633,11.32
2018-03-01,395.428,81862.482944,-1.86
2018-06-01,406.918,83779.52847,8.35
2018-09-01,412.681,84760.881848,3.53
2018-12-01,416.429,85221.581695,0.33
